UF;COD. UF;COD. MUNIC;CD_MUN;NOME DO MUNICÍPIO;POPULACAO
AM;13;03403;1303403;Parintins;96251
AM;13;04062;1304062;Tabatinga;66837
AM;13;01704;1301704;Humaitá;59504
AM;13;02405;1302405;Lábrea;47003
RO;11;00205;1100205;Porto Velho;461748
AM;13;00607;1300607;Benjamin Constant;37436
AM;13;00805;1300805;Borba;33209
AM;13;03700;1303700;Santo Antônio do Içá;28233
AM;13;01605;1301605;Fonte Boa;27692
AM;13;02306;1302306;Jutaí;25048
PA;15;03754;1503754;Jacareacanga;24742
AM;13;04401;1304401;Urucurituba;24017
AM;13;03502;1303502;Pauini;20351
AM;13;04302;1304302;Urucará;18582
AM;13;00409;1300409;Barcelos;18399
BA;29;09208;2909208;Coronel João Sá;17000
AM;13;00029;1300029;Alvarães;15916
AM;13;03205;1303205;Novo Airão;15819
PE;26;05509;2605509;Ferreiros;15040
MA;21;07506;2107506;Paço do Lumiar;145752
AM;13;03601;1303601;Santa Isabel do Rio Negro;14305
AM;13;00839;1300839;Caapiranga;13851
AM;13;01654;1301654;Guajará;13809
PR;41;21901;4121901;Ribeirão do Pinhal;13053
GO;52;17609;5217609;Planaltina;108846
AM;13;01902;1301902;Itacoatiara;103826
AM;13;02504;1302504;Manacapuru;102736
AM;13;01951;1301951;Itamarati;10783
BA;29;12004;2912004;Ibiassucê;10426
BA;29;27101;2927101;Rodelas;10303
AM;13;02009;1302009;Itapiranga;10183
SP;35;50308;3550308;São Paulo;12200180
RJ;33;04557;3304557;Rio de Janeiro;6625849
DF;53;00108;5300108;Brasília;2923369
BA;29;27408;2927408;Salvador;2610987
CE;23;04400;2304400;Fortaleza;2596157
MG;31;06200;3106200;Belo Horizonte;2392678
AM;13;02603;1302603;Manaus;2054731
PR;41;06902;4106902;Curitiba;1871789
PE;26;11606;2611606;Recife;1494586
GO;52;08707;5208707;Goiânia;1414483
RS;43;14902;4314902;Porto Alegre;1404269
SP;35;18800;3518800;Guarulhos;1383272
PA;15;01402;1501402;Belém;1367336
SP;35;09502;3509502;Campinas;1170247
MA;21;11300;2111300;São Luís;1061374
AL;27;04302;2704302;Maceió;960667
MS;50;02704;5002704;Campo Grande;942140
RJ;33;04904;3304904;São Gonçalo;929446
PB;25;07507;2507507;João Pessoa;889618
PI;22;11001;2211001;Teresina;868523
SP;35;48708;3548708;São Bernardo do Campo;832347
RJ;33;03500;3303500;Nova Iguaçu;819134
RJ;33;01702;3301702;Duque de Caxias;782799
SP;35;34401;3534401;Osasco;777048
SP;35;47809;3547809;Santo André;776640
RN;24;08102;2408102;Natal;751932
SP;35;52205;3552205;Sorocaba;738128
MG;31;70206;3170206;Uberlândia;725536
SP;35;49904;3549904;São José dos Campos;725419
SP;35;43402;3543402;Ribeirão Preto;702739
MT;51;03403;5103403;Cuiabá;694244
PE;26;07901;2607901;Jaboatão dos Guararapes;653793
BA;29;10800;2910800;Feira de Santana;652592
SC;42;09102;4209102;Joinville;617979
MG;31;18601;3118601;Contagem;615621
SE;28;00308;2800308;Aracaju;605309
